file,language,function,start_line,end_line,nloc,ccn,token,params,length,radon_grade,radon_cc,bug_label
data\repos\angular.js\angularFiles.js,JavaScript,(anonymous),278,283,6,2,36,1,6,,2,0
data\repos\angular.js\angularFiles.js,JavaScript,(anonymous),275,284,5,1,28,1,10,,1,0
data\repos\angular.js\angularFiles.js,JavaScript,(anonymous),315,323,8,2,46,1,9,,2,0
data\repos\angular.js\angularFiles.js,JavaScript,(anonymous),314,324,3,1,16,1,11,,1,0
data\repos\angular.js\angularFiles.js,JavaScript,exports.mergeFilesFor,311,328,6,1,33,0,18,,1,0
data\repos\angular.js\benchmarks\animation-bp\app.js,JavaScript,config,8,13,6,1,22,0,6,,1,0
data\repos\angular.js\benchmarks\animation-bp\app.js,JavaScript,BenchmarkController,15,18,4,1,18,0,4,,1,0
data\repos\angular.js\benchmarks\animation-bp\app.js,JavaScript,(anonymous),23,25,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\animation-bp\app.js,JavaScript,fn,22,26,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\animation-bp\app.js,JavaScript,fn,31,33,3,1,12,0,3,,1,0
data\repos\angular.js\benchmarks\animation-bp\app.js,JavaScript,(anonymous),39,41,3,1,11,0,3,,1,0
data\repos\angular.js\benchmarks\animation-bp\app.js,JavaScript,fn,38,42,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\animation-bp\bp.conf.js,JavaScript,module.exports,5,22,18,1,52,1,18,,1,0
data\repos\angular.js\benchmarks\bootstrap-compile-bp\app.js,JavaScript,(anonymous),8,17,8,1,60,0,10,,1,0
data\repos\angular.js\benchmarks\bootstrap-compile-bp\app.js,JavaScript,(anonymous),36,36,1,1,13,1,1,,1,0
data\repos\angular.js\benchmarks\bootstrap-compile-bp\app.js,JavaScript,this.loadTemplate,33,37,5,1,36,0,5,,1,0
data\repos\angular.js\benchmarks\bootstrap-compile-bp\app.js,JavaScript,fn,46,51,6,2,39,0,6,,2,0
data\repos\angular.js\benchmarks\bootstrap-compile-bp\app.js,JavaScript,fn,56,58,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\bootstrap-compile-bp\app.js,JavaScript,DataController,18,61,24,5,134,0,44,,5,1
data\repos\angular.js\benchmarks\bootstrap-compile-bp\bp.conf.js,JavaScript,module.exports,5,15,11,1,32,1,11,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,(anonymous),8,10,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,compile,7,11,3,1,11,0,5,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,(anonymous),5,13,5,1,12,0,9,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,(anonymous),20,22,3,1,11,0,3,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,(anonymous),19,23,3,1,22,0,5,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,compile,17,24,4,1,18,0,8,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,(anonymous),15,26,5,1,13,0,12,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,compile,30,32,2,1,7,0,3,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,(anonymous),28,34,5,1,12,0,7,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,(anonymous),45,47,3,1,11,0,3,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,fn,43,56,12,3,81,0,14,,3,0
data\repos\angular.js\benchmarks\event-delegation-bp\app.js,JavaScript,DataController,36,58,9,1,39,0,23,,1,0
data\repos\angular.js\benchmarks\event-delegation-bp\bp.conf.js,JavaScript,module.exports,5,14,10,1,32,1,10,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,(anonymous),5,9,5,2,20,0,5,,2,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,(anonymous),12,14,3,1,8,1,3,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,(anonymous),11,15,3,1,8,0,5,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,iGetter,27,27,1,1,9,0,1,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,jGetter,29,29,1,1,9,0,1,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,(anonymous),47,50,4,1,16,0,4,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,fn,46,51,3,1,12,0,6,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,(anonymous),57,59,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,fn,56,60,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,fn,65,67,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,DataController,17,69,33,3,176,0,53,,3,1
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,link,75,102,26,3,229,0,28,,3,1
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,(anonymous),72,104,6,1,16,0,33,,1,1
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,link,110,132,21,3,173,0,23,,3,1
data\repos\angular.js\benchmarks\largetable-bp\app.js,JavaScript,(anonymous),107,134,6,1,16,0,28,,1,0
data\repos\angular.js\benchmarks\largetable-bp\bp.conf.js,JavaScript,module.exports,5,19,15,1,42,1,15,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,this.init,7,16,9,1,48,0,10,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,this.clearTodos,18,20,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,this.createTodos,22,33,12,2,57,1,12,,2,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,this.setTodosValuesWithSeed,35,43,9,2,86,1,9,,2,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,fn,50,54,5,1,25,0,5,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,fn,59,63,4,1,17,0,5,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,fn,68,70,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,fn,75,79,4,1,17,0,5,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,fn,84,88,4,1,17,0,5,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,fn,93,97,4,1,17,0,5,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,fn,102,105,4,1,16,0,4,,1,0
data\repos\angular.js\benchmarks\ng-class-bp\app.js,JavaScript,DataController,5,108,35,1,181,0,104,,1,1
data\repos\angular.js\benchmarks\ng-class-bp\bp.conf.js,JavaScript,module.exports,5,15,11,1,32,1,11,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,(anonymous),7,11,5,2,20,0,5,,2,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,changeOptions,19,28,10,2,56,0,10,,2,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,(anonymous),37,40,4,1,14,0,4,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,fn,36,41,3,1,12,0,6,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,(anonymous),47,49,3,1,15,0,3,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,fn,46,50,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,(anonymous),56,58,3,1,15,0,3,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,fn,55,59,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,fn,64,67,4,1,14,0,4,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,(anonymous),73,76,4,1,14,0,4,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,fn,72,77,3,1,12,0,6,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,fn,82,85,4,1,18,0,4,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,fn,90,93,4,1,18,0,4,,1,0
data\repos\angular.js\benchmarks\ng-options-bp\app.js,JavaScript,(anonymous),15,95,35,1,152,0,81,,1,1
data\repos\angular.js\benchmarks\ng-options-bp\bp.conf.js,JavaScript,module.exports,5,15,11,1,32,1,11,,1,0
data\repos\angular.js\benchmarks\orderby-bp\app.js,JavaScript,(anonymous),13,15,3,1,11,1,3,,1,0
data\repos\angular.js\benchmarks\orderby-bp\app.js,JavaScript,$scope.rawProperty,12,16,3,1,9,1,5,,1,0
data\repos\angular.js\benchmarks\orderby-bp\app.js,JavaScript,getRandomInt,19,21,3,1,27,2,3,,1,0
data\repos\angular.js\benchmarks\orderby-bp\app.js,JavaScript,(anonymous),28,30,3,1,11,0,3,,1,0
data\repos\angular.js\benchmarks\orderby-bp\app.js,JavaScript,fn,26,41,14,3,90,0,16,,3,0
data\repos\angular.js\benchmarks\orderby-bp\app.js,JavaScript,fn,46,48,3,1,10,0,3,,1,0
data\repos\angular.js\benchmarks\orderby-bp\app.js,JavaScript,DataController,5,50,17,1,77,0,46,,1,1
data\repos\angular.js\benchmarks\orderby-bp\bp.conf.js,JavaScript,module.exports,5,18,14,1,42,1,14,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),5,9,5,2,20,0,5,,2,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),12,14,3,1,8,1,3,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),11,15,3,1,8,0,5,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),24,26,3,1,12,1,3,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),23,27,3,1,21,0,5,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,compile,21,28,4,1,20,0,8,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),18,30,6,1,16,0,13,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),39,41,3,1,12,1,3,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),38,42,3,1,21,0,5,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,compile,36,43,4,1,20,0,8,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),33,45,6,1,16,0,13,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,$scope.func,54,54,1,1,7,0,1,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,func,70,70,1,1,7,0,1,,1,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,fn,78,82,5,2,26,0,5,,2,0
data\repos\angular.js\benchmarks\parsed-expressions-bp\app.js,JavaScript,(anonymous),47,84,29,4,283,0,38,,4,1
data\repos\angular.js\benchmarks\parsed-expressions-bp\bp.conf.js,JavaScript,module.exports,5,15,11,1,32,1,11,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\app-classfilter.js,JavaScript,(anonymous),4,6,3,1,12,0,3,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\app-classfilter.js,JavaScript,(anonymous),7,9,3,1,11,0,3,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\app-noanimate.js,JavaScript,(anonymous),4,6,3,1,11,0,3,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\app.js,JavaScript,(anonymous),4,6,3,1,11,0,3,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\bp.conf.js,JavaScript,module.exports,5,24,20,1,52,1,20,,1,1
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),6,11,5,2,22,0,6,,2,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),13,17,5,2,20,0,5,,2,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,fillData,25,38,13,4,77,0,14,,4,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),43,45,3,1,8,0,3,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,fn,42,46,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),52,54,3,1,13,0,3,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,fn,51,55,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),19,57,14,1,64,0,39,,1,1
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,pre,62,64,3,1,16,2,3,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),59,67,7,1,17,0,9,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),69,75,7,1,18,0,7,,1,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,createList,90,106,16,3,132,0,17,,3,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),108,116,9,3,46,1,9,,3,0
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,link,80,117,11,1,91,0,38,,1,1
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),77,119,6,1,17,0,43,,1,1
data\repos\angular.js\benchmarks\repeat-animate-bp\common.js,JavaScript,(anonymous),3,120,9,1,70,0,118,,1,1
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,(anonymous),7,11,5,2,20,0,5,,2,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,changeOptions,19,37,19,3,89,0,19,,3,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,(anonymous),46,49,4,1,14,0,4,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,fn,45,50,3,1,12,0,6,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,(anonymous),56,58,3,1,20,0,3,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,fn,55,59,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,(anonymous),65,67,3,1,20,0,3,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,fn,64,68,3,1,12,0,5,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,fn,73,76,4,1,14,0,4,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,(anonymous),82,85,4,1,14,0,4,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,fn,81,86,3,1,12,0,6,,1,0
data\repos\angular.js\benchmarks\select-ng-value-bp\app.js,JavaScript,fn,91,94,4,1,18,0,4,,1,0
