file,function,start_line,end_line,nloc,ccn,token,params,length,radon_grade,radon_cc,bug_label
repos,models,94,,,1,,,,A,1,
repos,predict_prices,47,,,1,,,,A,1,
repos,monotonic,24,,,12,,,,C,12,
repos,max_area_brute,70,,,4,,,,A,4,
repos,rotate_array,49,,,3,,,,A,3,
repos,max_area_optimum,83,,,3,,,,A,3,
repos,square_num,10,,,2,,,,A,2,
repos,area,73,,,5,,,,A,5,
repos,max_min_diff,28,,,2,,,,A,2,
repos,area,47,,,1,,,,A,1,
repos,baseball_game,4,,,5,,,,A,5,
repos,calculate,12,,,4,,,,A,4,
repos,isprime,51,,,4,,,,A,4,
repos,fibonaci_even,37,,,3,,,,A,3,
repos,fizzBuzz,1,,,8,,,,B,8,
repos,maximum,135,,,4,,,,A,4,
repos,count_str,213,,,4,,,,A,4,
repos,filter_ge_6,176,,,3,,,,A,3,
repos,count_str,201,,,3,,,,A,3,
repos,remove_duplicates,226,,,3,,,,A,3,
repos,maximum,123,,,2,,,,A,2,
repos,multi,150,,,2,,,,A,2,
repos,map_longest,162,,,2,,,,A,2,
repos,factorial,187,,,2,,,,A,2,
repos,function,248,,,2,,,,A,2,
repos,is_palindrome,269,,,2,,,,A,2,
repos,remove_duplicates,235,,,1,,,,A,1,
repos,is_distinct,242,,,1,,,,A,1,
repos,function,256,,,1,,,,A,1,
repos,file_gen,8,,,3,,,,A,3,
repos,enum,26,,,2,,,,A,2,
repos,dayname,40,,,1,,,,A,1,
repos,brackets,122,,,6,,,,B,6,
repos,is_leap,11,,,4,,,,A,4,
repos,check_isomorphic,42,,,7,,,,B,7,
repos,target_value,7,,,6,,,,B,6,
repos,target_value_hash,22,,,3,,,,A,3,
repos,sort_list,25,,,1,,,,A,1,
repos,checkloop,183,,,8,,,,B,8,
repos,add_2_numbers,255,,,8,,,,B,8,
repos,delete_duplicates,134,,,4,,,,A,4,
repos,get_duplicate,233,,,4,,,,A,4,
repos,print_list,144,,,2,,,,A,2,
repos,reverse_linked_list,164,,,2,,,,A,2,
repos,link_nodes,300,,,1,,,,A,1,
repos,fibonacci,30,,,3,,,,A,3,
repos,power_sum,56,,,3,,,,A,3,
repos,fibonacci,8,,,2,,,,A,2,
repos,fibonacci,18,,,2,,,,A,2,
repos,solution,27,,,8,,,,B,8,
repos,draw_rating,42,,,5,,,,A,5,
repos,search_matrix,62,,,8,,,,B,8,
repos,left_index,12,,,6,,,,B,6,
repos,right_index,31,,,6,,,,B,6,
repos,start_end_sorted_array,6,,,1,,,,A,1,
repos,bubble_sort,5,,,6,,,,B,6,
repos,merge_sorted_array,64,,,6,,,,B,6,
repos,selection_sort,48,,,5,,,,A,5,
repos,insertion_sort,30,,,4,,,,A,4,
repos,merge_sort,83,,,2,,,,A,2,
repos,postfix,117,,,3,,,,A,3,
repos,string_type,361,,,11,,,,C,11,
repos,search_rotation,201,,,8,,,,B,8,
repos,non_repeat,43,,,6,,,,B,6,
repos,anagrams,148,,,6,,,,B,6,
repos,non_repeat,29,,,5,,,,A,5,
repos,non_repeat,56,,,5,,,,A,5,
repos,binary_search,175,,,5,,,,A,5,
repos,minion_game,266,,,5,,,,A,5,
repos,merge_the_tools,288,,,5,,,,A,5,
repos,compress_string,231,,,4,,,,A,4,
repos,repeat,11,,,3,,,,A,3,
repos,palindrome,76,,,3,,,,A,3,
repos,palindrome,91,,,3,,,,A,3,
repos,palindrome,105,,,3,,,,A,3,
repos,max_substr,122,,,3,,,,A,3,
repos,swap_case,312,,,3,,,,A,3,
repos,count_substring,331,,,3,,,,A,3,
repos,parse1,187,,,2,,,,A,2,
repos,parse2,191,,,2,,,,A,2,
repos,parse3,195,,,2,,,,A,2,
repos,accuracy,19,,,3,,,,A,3,
repos,compress_string,2,,,4,,,,A,4,
repos,brackets,29,,,6,,,,B,6,
repos,compress_string,155,,,4,,,,A,4,
repos,link_nodes,88,,,1,,,,A,1,
repos,minion_game,67,,,5,,,,A,5,
repos,merge_the_tools,88,,,5,,,,A,5,
repos,rotate_array,15,,,3,,,,A,3,
repos,score_words,54,,,3,,,,A,3,
repos,swap_case,108,,,3,,,,A,3,
repos,string_type,29,,,11,,,,C,11,
repos,swap_case,1,,,3,,,,A,3,
repos,count_substring,13,,,3,,,,A,3,
repos,right_view,284,,,7,,,,B,7,
repos,left_view,304,,,7,,,,B,7,
repos,level_order_traversal,251,,,6,,,,B,6,
repos,invert_iterative,329,,,5,,,,A,5,
repos,invert_recursive,347,,,2,,,,A,2,
