repo_name,file_id,commit_count,churn_added,churn_deleted,total_churn,file_age_days,days_since_last_change,recent_7d_commits,recent_30d_commits,late_night_commits,late_night_ratio,weekend_commits,weekend_ratio,active_days,avg_commits_per_active_day,max_commits_one_day,burstiness_score,bug_fix_commits,bug_label
activestate-code,data/repos/activestate-code/recipes/Python/578112_Bresenhams_line_algorithm/recipe-578112.py,2,114,2,116,3262,2088,0,0,0,0.0,0,0.0,2,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Python/577468_Minimalistic_PostgreSQL_console/recipe-577468.py,2,72,0,72,3262,2242,0,0,0,0.0,0,0.0,2,1.0,1,1.0,1,1
activestate-code,data/repos/activestate-code/recipes/Python/278260_Dictionary_Tools/recipe-278260.py,2,291,291,582,3262,3031,0,0,1,0.5,0,0.0,2,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Python/576534_Dump_Oracle_db_schema_to_text/recipe-576534.py,2,1198,110,1308,3262,3137,0,0,0,0.0,0,0.0,2,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Python/576557_Dump_PostgreSQL_db/recipe-576557.py,2,876,82,958,3262,3137,0,0,0,0.0,0,0.0,2,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Python/576621_Dump_Informix_schema_to_text/recipe-576621.py,2,866,108,974,3262,3137,0,0,0,0.0,0,0.0,2,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Python/498182_sane_tab_completion_in_pdb/recipe-498182.py,2,29,0,29,3262,3141,0,0,0,0.0,0,0.0,2,1.0,1,1.0,1,1
activestate-code,data/repos/activestate-code/recipes/Python/recursive_file_regex_replacer_colorized.py,1,189,0,189,3146,3146,0,0,0,0.0,1,1.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Python/576917_Functional_selection_sort/recipe-576917.py,4,49,1,50,3262,3151,0,0,1,0.25,0,0.0,3,1.333333,2,1.5,0,0
activestate-code,data/repos/activestate-code/recipes/Python/408859_socketrecv__three_ways_turn_it/recipe-408859.py,2,111,1,112,3262,3185,0,0,0,0.0,0,0.0,2,1.0,1,1.0,0,0
